symbol,action,verdict,confidence,size,reasoning,timestamp
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:46:25.606777+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:47:25.688168+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:48:25.763413+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:49:25.837406+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:50:25.914285+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:51:25.984869+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:52:26.060259+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:53:26.131172+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:54:26.202129+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:55:26.262222+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:56:26.337227+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:57:26.408788+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:58:26.488005+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 22:59:26.563284+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:00:26.634468+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:01:26.711059+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:02:26.786322+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:03:26.862774+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:04:26.933768+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:05:27.010054+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:06:27.088295+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:07:27.150168+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:08:27.227454+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:09:27.302787+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:10:27.377567+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:11:27.449342+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:12:35.1505+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:13:35.242729+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:14:35.320991+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:15:35.401368+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:16:23.302691+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:17:23.389099+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:18:23.46779+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:19:23.545325+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:20:23.620504+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:21:23.697573+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:22:23.770419+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:23:23.789779+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:24:23.86671+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:25:23.940672+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:26:24.004442+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:27:24.073377+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:28:24.113553+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:29:24.189639+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:30:24.265603+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:31:24.346168+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:32:24.41815+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:33:24.485609+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:34:24.561442+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:35:24.637522+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:36:24.718104+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:37:24.801216+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:38:24.857429+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:39:24.925886+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:40:24.988517+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:41:25.066027+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:41:50.95159+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:42:10.197163+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:43:10.27316+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:44:10.34184+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:45:10.426427+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:46:10.5107+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:47:10.5957+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:48:10.675622+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:49:10.74893+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:50:10.812166+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:51:10.866811+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:52:10.94176+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:53:11.000217+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:54:11.077445+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:55:11.148594+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:56:11.22649+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:57:11.300041+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:58:11.373952+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-22 23:59:11.436845+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:00:11.512286+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:01:11.588861+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:02:11.664782+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:03:11.741097+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:04:11.809184+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:05:11.882493+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:06:11.950709+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:07:12.0207+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:08:12.096941+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:09:12.156586+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:10:12.230674+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:11:12.307942+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:12:12.382712+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:13:12.457821+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:14:12.535287+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:15:12.61011+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:16:12.686017+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:17:12.7739+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:18:12.846553+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:19:12.921677+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:20:13.000701+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:21:13.072842+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:22:13.147611+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:23:13.222553+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:24:13.293735+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:25:13.361554+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:26:13.423222+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:27:13.499069+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:28:13.568344+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:29:13.615281+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:30:13.685385+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:31:13.761588+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:32:13.831155+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:33:13.888748+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:34:13.965506+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:35:14.036707+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:36:14.102457+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:37:14.178056+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:38:14.247334+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:39:14.324669+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:40:14.39542+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:41:14.472605+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:42:14.529182+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:43:14.559546+00
DOGE,BUY,EXECUTE,0.83,3.33,"Score-weighted consensus for DOGE: tech=1.0, fund=0.5, sent=1.0 → avg=0.83 → BUY",2026-02-23 00:44:14.633484+00
